!Experiment Random Multi Restart #Runs Limit 100[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
1000 1 1 bs_array best_move 12.591000 100 209807 208313.990000 615.919175 760.890000 19.125844 0.000000 0.000000 0.000000
1000 1 1 bs_array first_move 0.397000 100 210024 208570.610000 649.200923 1059.270000 29.982280 0.000000 0.000000 0.000000
1000 5 1 bs_array best_move 39.544000 100 857328 853173.290000 1374.721974 1148.220000 37.537070 0.000000 0.000000 0.000000
1000 5 1 bs_array first_move 2.455000 100 857529 854379.610000 1360.970403 1779.070000 58.970883 0.000000 0.000000 0.000000
1000 10 1 bs_array best_move 68.446000 100 1609167 1602408.160000 2121.532600 1310.650000 49.911998 0.000000 0.000000 0.000000
1000 10 1 bs_array first_move 8.088000 100 1610592 1604323.340000 2017.449361 2131.440000 73.448665 0.000000 0.000000 0.000000
1000 50 1 bs_array best_move 444.929000 100 8080197 8068682.830000 5092.626136 1696.750000 86.686720 2.000000 0.000000 0.000000
1000 50 1 bs_array first_move 119.326000 100 8083992 8069846.440000 4746.691562 2999.760000 117.094160 0.000000 0.000000 0.000000
1000 100 1 bs_array best_move 1005.020000 100 25768273 25756154.270000 4658.591794 1785.000000 95.809812 4.520000 0.000000 0.000000
1000 100 1 bs_array first_move 423.624000 100 25771361 25759827.390000 4867.542077 3403.600000 146.373632 0.020000 0.000000 0.000000
4000 1 1 bs_array best_move 570.635000 100 2830216 2823209.570000 2683.760240 4416.650000 78.313776 1.000000 0.000000 0.000000
4000 1 1 bs_array first_move 9.439000 100 2833759 2827116.280000 2606.620675 6749.320000 90.575039 0.000000 0.000000 0.000000
4000 5 1 bs_array best_move 75231.488000 100 12118494 12105181.960000 5911.166232 6103.080000 144.920922 125.330000 0.000000 0.000000
4000 5 1 bs_array first_move 121.921000 100 12124548 12112961.840000 5723.767747 10132.550000 184.904969 0.000000 0.000000 0.000000
