!Experiment Random Multi Start #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
500 1 1 basic(order2) first_move 0.042000 1 58596 58596.000000 0.000000 406.000000 0.000000 0.000000 2.000000 0.000000
500 1 2 basic(order2) first_move 0.040000 1 52217 52217.000000 0.000000 398.000000 0.000000 0.000000 1.000000 0.000000
500 1 3 basic(order2) first_move 0.043000 1 54553 54553.000000 0.000000 366.000000 0.000000 0.000000 0.000000 0.000000
500 1 4 basic(order2) first_move 0.011000 1 58353 58353.000000 0.000000 380.000000 0.000000 0.000000 0.000000 0.000000
500 1 5 basic(order2) first_move 0.031000 1 58474 58474.000000 0.000000 359.000000 0.000000 0.000000 1.000000 0.000000
500 5 1 basic(order2) first_move 0.037000 1 234585 234585.000000 0.000000 805.000000 0.000000 0.000000 2.000000 0.000000
500 5 2 basic(order2) first_move 0.035000 1 234009 234009.000000 0.000000 735.000000 0.000000 0.000000 3.000000 0.000000
500 5 3 basic(order2) first_move 0.068000 1 237451 237451.000000 0.000000 754.000000 0.000000 0.000000 8.000000 0.000000
500 5 4 basic(order2) first_move 0.042000 1 238454 238454.000000 0.000000 791.000000 0.000000 0.000000 3.000000 0.000000
500 5 5 basic(order2) first_move 0.047000 1 235899 235899.000000 0.000000 696.000000 0.000000 0.000000 2.000000 1.000000
500 10 1 basic(order2) first_move 0.034000 1 433320 433320.000000 0.000000 865.000000 0.000000 0.000000 2.000000 3.000000
500 10 2 basic(order2) first_move 0.044000 1 432213 432213.000000 0.000000 865.000000 0.000000 0.000000 4.000000 0.000000
500 10 3 basic(order2) first_move 0.058000 1 434819 434819.000000 0.000000 871.000000 0.000000 0.000000 5.000000 1.000000
500 10 4 basic(order2) first_move 0.069000 1 435914 435914.000000 0.000000 955.000000 0.000000 0.000000 4.000000 1.000000
