!Experiment Random Multi Restart #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
500 1 1 bs_array first_move 0.001000 1 58555 58555.000000 0.000000 403.000000 0.000000 0.000000 0.000000 0.000000
500 1 1 tree first_move 0.001000 1 58296 58296.000000 0.000000 400.000000 0.000000 0.000000 0.000000 0.000000
500 1 1 basic first_move 0.022000 1 58082 58082.000000 0.000000 382.000000 0.000000 0.000000 0.000000 0.000000
500 1 2 bs_array first_move 0.001000 1 52233 52233.000000 0.000000 400.000000 0.000000 0.000000 0.000000 0.000000
500 1 2 tree first_move 0.002000 1 52765 52765.000000 0.000000 378.000000 0.000000 0.000000 0.000000 0.000000
500 1 2 basic first_move 0.012000 1 52441 52441.000000 0.000000 379.000000 0.000000 0.000000 0.000000 0.000000
500 1 3 bs_array first_move 0.000000 1 54590 54590.000000 0.000000 373.000000 0.000000 0.000000 0.000000 0.000000
500 1 3 tree first_move 0.002000 1 54268 54268.000000 0.000000 354.000000 0.000000 0.000000 0.000000 0.000000
500 1 3 basic first_move 0.022000 1 54308 54308.000000 0.000000 369.000000 0.000000 0.000000 0.000000 0.000000
500 1 4 bs_array first_move 0.001000 1 58639 58639.000000 0.000000 387.000000 0.000000 0.000000 0.000000 0.000000
500 1 4 tree first_move 0.002000 1 58300 58300.000000 0.000000 398.000000 0.000000 0.000000 0.000000 0.000000
500 1 4 basic first_move 0.034000 1 58327 58327.000000 0.000000 391.000000 0.000000 0.000000 0.000000 0.000000
500 1 5 bs_array first_move 0.000000 1 58194 58194.000000 0.000000 362.000000 0.000000 0.000000 0.000000 0.000000
500 1 5 tree first_move 0.001000 1 58336 58336.000000 0.000000 385.000000 0.000000 0.000000 0.000000 0.000000
500 1 5 basic first_move 0.022000 1 58311 58311.000000 0.000000 385.000000 0.000000 0.000000 0.000000 0.000000
500 5 1 bs_array first_move 0.005000 1 233838 233838.000000 0.000000 761.000000 0.000000 0.000000 0.000000 0.000000
500 5 1 tree first_move 0.039000 1 234537 234537.000000 0.000000 749.000000 0.000000 0.000000 0.000000 0.000000
500 5 1 basic first_move 0.063000 1 234807 234807.000000 0.000000 750.000000 0.000000 0.000000 0.000000 0.000000
500 5 2 bs_array first_move 0.003000 1 233698 233698.000000 0.000000 706.000000 0.000000 0.000000 0.000000 0.000000
500 5 2 tree first_move 0.016000 1 234137 234137.000000 0.000000 694.000000 0.000000 0.000000 0.000000 0.000000
500 5 2 basic first_move 0.018000 1 234121 234121.000000 0.000000 736.000000 0.000000 0.000000 0.000000 0.000000
500 5 3 bs_array first_move 0.003000 1 237076 237076.000000 0.000000 732.000000 0.000000 0.000000 0.000000 0.000000
