fo time ls_time n_ls_moves
814 1626999 814 1372
1550 1621573 730 1276
2410 1625864 851 1464
3164 1619926 747 1346
3867 1621142 694 1297
4593 1626793 719 1339
5353 1622972 754 1415
6070 1620905 710 1277
6824 1624638 747 1369
7606 1623907 775 1338
8368 1623474 755 1348
9077 1622544 700 1305
9768 1617082 684 1225
10507 1623293 733 1316
11285 1624369 770 1342
12041 1620934 749 1299
12811 1623417 764 1308
13585 1623583 767 1362
14327 1624464 735 1315
15010 1622207 674 1233
15711 1620423 694 1309
16476 1621195 759 1325
17185 1621302 702 1314
17879 1618097 666 1243
18552 1620024 667 1277
19218 1617310 659 1251
20003 1622127 778 1371
20769 1625349 759 1378
21526 1623417 750 1283
22318 1620381 786 1300
23108 1622479 783 1395
23824 1621665 709 1346
24534 1622969 704 1318
25261 1622970 720 1354
25957 1620188 690 1283
26605 1619576 642 1219
27433 1624947 822 1475
28260 1620976 820 1285
29036 1624190 770 1314
29747 1627235 702 1326
30425 1621779 671 1282
31101 1621965 670 1272
31806 1624646 699 1325
32555 1621837 742 1339
33228 1621907 666 1240
34052 1622347 817 1363
34738 1622195 679 1239
35486 1621269 741 1316
36233 1624408 740 1364
36998 1623985 759 1420
37782 1621127 778 1351
38556 1625737 765 1421
39302 1621316 740 1347
40041 1619938 733 1318
40761 1622626 713 1297
41526 1623944 757 1342
42238 1621561 705 1222
43009 1623900 765 1405
43683 1621600 667 1280
44337 1617613 648 1227
45122 1625313 778 1394
45817 1620307 689 1300
46527 1616478 703 1220
47278 1625268 743 1344
47982 1618750 698 1279
48684 1619291 695 1272
49419 1621788 727 1303
50230 1622409 804 1302
50990 1621158 754 1326
51714 1623731 716 1286
52442 1622503 721 1296
53239 1624953 791 1378
54041 1624855 795 1457
54772 1620704 723 1330
55485 1622255 706 1295
56214 1620266 722 1300
56925 1623849 704 1314
57621 1621640 690 1302
58374 1624408 746 1362
59024 1615445 644 1197
59788 1621689 756 1310
60558 1624086 763 1364
61358 1623662 793 1356
62117 1624823 752 1334
62862 1621443 738 1306
63570 1621836 702 1285
64283 1618791 706 1319
65008 1625676 719 1299
65750 1620374 735 1254
66501 1623587 743 1312
67240 1620754 732 1310
67982 1621905 733 1312
68666 1621013 677 1248
69374 1621435 701 1308
70046 1619204 665 1243
70720 1621431 667 1266
71438 1622702 712 1336
72156 1623669 712 1279
72850 1623528 687 1284
73623 1621240 767 1373
74414 1622147 783 1385
75099 1622070 679 1258
75838 1622849 732 1353
76603 1621788 758 1313
77342 1622077 732 1254
78134 1626251 786 1478
78958 1626110 817 1387
79699 1623990 734 1323
80401 1620391 696 1238
81108 1620465 698 1235
81802 1617892 688 1284
82568 1622833 759 1389
83325 1622292 750 1398
84096 1615137 763 1268
84894 1622315 790 1402
85581 1622286 681 1292
