fo time ls_time n_ls_moves
110 864381 110 1194
221 862327 97 1136
331 863781 95 1231
447 863555 101 1089
629 863416 156 1213
770 863169 109 1150
897 862971 112 1149
1016 862215 102 1127
1149 863254 114 1131
1257 859111 92 1039
1381 860983 109 1105
1488 860622 89 1121
1603 860819 100 1136
1711 864282 91 1151
1834 863011 101 1158
1951 864916 100 1172
2090 865099 121 1218
2234 862986 125 1160
2358 862082 108 1191
2475 862295 91 1118
2598 864411 108 1173
2707 864302 93 1192
2849 863888 125 1124
2954 861488 88 1110
3070 860350 101 1114
3172 859804 87 1107
3294 865193 106 1186
3422 860857 110 1106
3559 863541 115 1132
3690 862951 113 1142
3812 861955 102 1169
3935 861677 106 1123
4068 864551 116 1179
4194 863537 109 1177
4326 867263 116 1237
4441 860908 97 1165
4571 863726 113 1167
4685 863483 96 1171
4827 862959 121 1146
4963 863149 119 1097
5088 863363 106 1154
5221 862677 116 1169
5326 863536 89 1122
5450 863514 104 1184
5559 863300 92 1143
5683 862281 101 1108
5811 864714 113 1174
5926 864008 98 1159
6061 864513 118 1218
6172 861868 93 1099
6316 861153 124 1148
6448 865241 114 1117
6566 862681 102 1158
6690 862012 107 1167
6791 863509 86 1109
6913 862218 106 1127
7027 863076 99 1147
7143 863842 100 1108
7267 861221 110 1137
7387 861865 95 1089
7513 864712 111 1218
7622 861791 93 1103
7750 861800 112 1153
7861 863487 94 1181
7995 864390 116 1256
8101 863633 90 1136
8224 862540 107 1089
8380 863532 141 1082
8499 862146 101 1145
8635 860518 118 1118
8757 864171 107 1216
8883 863142 103 1174
9005 862452 107 1103
9124 862622 95 1169
9237 861957 99 1132
9344 863805 91 1158
9460 861021 101 1148
9570 863823 94 1214
9689 863619 104 1182
9793 864994 89 1145
9907 862226 99 1151
10015 862302 94 1177
10135 862280 105 1197
10238 861061 88 1149
10354 861384 101 1085
10460 863789 91 1156
10592 862396 115 1118
10693 860588 86 1110
10837 863384 129 1152
10958 861568 106 1152
11076 864201 101 1196
11194 860651 101 1144
11308 864731 93 1133
