!Experiment Random Multi Start #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd mean2_round_time
4000 50 1 tree best_move 76.251000 1 123329513 123329513.000000 0.000000 8197.000000 0.000000 8.000000
4000 50 2 tree best_move 79.260000 1 123427841 123427841.000000 0.000000 8796.000000 0.000000 8.000000
4000 50 3 tree best_move 73.615000 1 123360660 123360660.000000 0.000000 7866.000000 0.000000 8.000000
4000 50 4 tree best_move 78.944000 1 123560043 123560043.000000 0.000000 8704.000000 0.000000 8.000000
4000 50 5 tree best_move 77.223000 1 123395066 123395066.000000 0.000000 8511.000000 0.000000 8.000000
4000 100 1 tree best_move 182.126000 1 406431982 406431982.000000 0.000000 9003.000000 0.000000 19.000000
4000 100 2 tree best_move 184.032000 1 406406234 406406234.000000 0.000000 8944.000000 0.000000 20.000000
4000 100 3 tree best_move 177.861000 1 406492666 406492666.000000 0.000000 8761.000000 0.000000 19.000000
4000 100 4 tree best_move 171.349000 1 406456499 406456499.000000 0.000000 8561.000000 0.000000 19.000000
4000 100 5 tree best_move 179.615000 1 406401111 406401111.000000 0.000000 9106.000000 0.000000 19.000000
Total Experiment time[s] = 1575
