fo time ls_time n_ls_moves n_ls_moves2
90 202556 90 1005 0
202 203602 111 1053 0
356 202801 153 1116 0
459 202340 102 1068 0
559 204248 99 1099 0
680 203571 120 1058 0
788 202893 107 1022 0
942 203995 153 1012 0
1108 203915 166 1058 0
1278 203204 169 1050 0
1435 203227 156 1052 0
1592 203305 156 1024 0
1728 203469 136 1040 0
1849 204323 120 1130 0
1970 203361 119 1073 0
2122 203308 151 1061 0
2251 202962 128 1073 0
2440 204120 188 1091 0
2589 203567 148 1050 0
2719 202814 130 1024 0
2846 203628 126 1055 0
2986 202873 139 1079 0
3103 203614 116 1047 0
3249 202673 145 1035 0
3364 203934 114 1089 0
3487 202773 123 1022 0
3639 202493 151 1024 0
3881 202350 241 1032 0
4073 203705 192 1049 0
4213 203262 139 1080 0
4361 203500 147 1028 0
4488 203478 126 1068 0
4605 203595 116 1079 0
4755 204064 149 1035 0
4846 204371 90 1037 0
5057 202670 211 1030 0
5240 203723 182 1062 0
5377 202822 136 1053 0
5614 204216 236 1098 0
5768 203498 154 1067 0
5863 203156 94 1027 0
6005 203177 141 1093 0
6142 203164 136 1014 0
6249 203234 107 1034 0
6350 202453 99 1027 0
6501 203183 150 1039 0
6617 202917 115 1091 0
6843 203846 225 1054 0
6933 203008 89 1037 0
7067 202829 133 1032 0
7179 202985 110 1055 0
7370 203605 190 1058 0
7484 203517 113 1076 0
7596 203856 111 1058 0
7721 202528 124 1053 0
7815 202626 94 1079 0
7962 203741 146 1108 0
8117 203698 154 1070 0
8221 202702 103 1078 0
8353 203121 131 1022 0
8439 203664 85 1025 0
8563 204650 123 1079 0
8653 202969 89 1056 0
8772 203095 118 1030 0
8863 203542 90 1024 0
9008 203317 145 1057 0
9133 203080 123 1018 0
9266 203155 132 1052 0
9403 203304 136 1096 0
9534 203787 130 1097 0
9696 203623 161 1057 0
9831 202664 134 1038 0
9968 202881 136 1061 0
10158 203202 189 1047 0
10281 203177 123 1051 0
10409 204251 127 1048 0
10526 203623 116 1042 0
10655 204215 128 1075 0
10765 204210 110 1108 0
10857 202721 91 1031 0
11009 203357 151 1012 0
11166 204171 156 1045 0
11275 202771 107 1062 0
11386 202875 110 1025 0
11506 202734 119 1049 0
11616 203168 110 1011 0
11733 203832 116 1074 0
11853 202873 120 1085 0
11982 202217 127 1045 0
12121 203152 139 1048 0
12244 202548 122 996 0
12361 203198 116 1060 0
12485 202832 123 1086 0
12623 203380 137 1068 0
12741 203629 117 1028 0
12849 203390 107 1021 0
12931 203048 81 1043 0
13100 204037 169 1039 0
13256 202850 155 1013 0
13392 202943 135 1057 0
13514 202956 120 980 0
13674 204282 160 1069 0
13783 203080 108 1092 0
13964 202102 180 1003 0
14089 203561 124 1041 0
14194 203666 104 1057 0
14352 203132 157 1034 0
14456 202935 103 1020 0
14588 203856 130 1044 0
14725 203099 137 1021 0
14840 203728 114 1056 0
14962 203706 121 1033 0
15075 203266 112 1076 0
15208 202731 132 1051 0
15313 204150 104 1055 0
15453 203381 139 1069 0
15574 203421 120 1042 0
15665 202621 90 1051 0
15786 203122 119 1065 0
15881 202969 95 1070 0
16021 204161 139 1121 0
16135 203980 113 1041 0
16258 202649 122 1021 0
16358 203080 99 1072 0
16464 202611 105 1029 0
16559 203170 78 1017 0
16666 201667 106 1044 0
16752 203462 85 1010 0
16884 203185 131 969 0
16981 202813 96 1069 0
17133 203914 151 1079 0
17284 203458 150 1045 0
17395 202432 110 1030 0
17515 204178 119 1041 0
17619 203326 104 1072 0
17758 204220 138 1104 0
17840 202548 81 1028 0
17971 204003 130 1052 0
18142 203939 171 1057 0
18241 203050 97 1051 0
18370 203197 129 1070 0
18484 201869 113 1033 0
18610 202413 124 1021 0
18711 203861 100 1088 0
18816 203264 104 1025 0
18967 203768 150 1074 0
19071 202900 103 1039 0
19187 203216 115 1071 0
19294 202737 106 1025 0
19414 202811 120 1051 0
19528 202995 113 1084 0
19643 202178 114 996 0
19766 203961 122 1040 0
19896 203923 130 1064 0
20060 203784 163 1057 0
20180 203455 119 1041 0
20327 202576 146 1034 0
20421 203056 93 1025 0
20548 203688 126 1102 0
20708 203266 159 1101 0
20803 202690 94 1024 0
20928 202529 124 1061 0
21036 203265 108 997 0
21231 203060 194 1054 0
21384 203320 152 1002 0
21483 202726 98 1042 0
21615 203293 131 1069 0
21802 202978 186 1112 0
21904 202879 101 1028 0
22057 203819 152 1068 0
22246 202509 189 1034 0
