fo time ls_time n_ls_moves n_ls_moves2
891 858115 889 1819 16
1475 853240 581 1767 11
2413 857731 935 1896 10
3168 855509 750 1773 11
3770 853256 599 1778 7
4814 855836 1042 1863 14
5597 854845 779 1835 8
6328 856385 728 1876 9
7170 856914 839 1813 17
7703 855800 530 1865 6
8724 857145 1018 1839 13
9434 856025 707 1819 10
10225 855681 788 1822 15
11138 858115 910 1829 8
11838 854868 697 1829 11
12610 855113 769 1790 7
13140 855249 526 1738 8
13688 855655 546 1799 6
14253 855037 562 1793 9
15594 855867 1338 1865 14
16293 855816 696 1807 6
17159 854691 863 1881 13
17902 855789 740 1890 9
19116 857508 1210 1869 11
20238 856114 1119 1850 11
21269 855775 1025 1829 8
22660 857539 1388 1943 16
23562 857625 898 1901 8
25139 857394 1574 1981 16
26537 856437 1395 1867 19
27506 857452 966 1913 15
28748 853884 1239 1878 14
29421 855648 669 1775 8
30008 856085 585 1790 12
