!Experiment Random Multi Start
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd mean2_round_time
1000 1 1 bs_array best_move 1.345000 10 208930 207954.200000 520.413259 764.700000 18.793882 0.000000
1000 1 1 bs_array first_move 0.037000 10 209224 208515.500000 384.468269 1082.500000 33.269355 0.000000
1000 1 1 tree best_move 0.214000 10 209254 208133.600000 667.361701 768.600000 17.962182 0.000000
1000 1 1 tree first_move 0.109000 10 209953 208755.700000 752.327994 1085.000000 23.664319 0.000000
1000 1 1 basic first_move 1.126000 10 209202 208546.600000 524.515624 1067.400000 36.014442 0.000000
1000 1 2 bs_array best_move 1.188000 10 205501 204441.700000 451.144556 753.700000 14.933519 0.000000
1000 1 2 bs_array first_move 0.034000 10 205440 204553.400000 490.666730 1050.000000 28.611187 0.000000
1000 1 2 tree best_move 0.211000 10 204990 204380.700000 369.203480 750.700000 13.777155 0.000000
1000 1 2 tree first_move 0.103000 10 205655 204576.600000 778.658616 1048.300000 26.472816 0.000000
1000 1 2 basic first_move 1.094000 10 205960 204444.000000 647.333299 1054.400000 18.336848 0.000000
1000 1 3 bs_array best_move 1.171000 10 203564 203096.100000 350.199786 745.800000 18.142767 0.000000
1000 1 3 bs_array first_move 0.041000 10 203880 203044.600000 452.029911 1036.000000 27.059194 0.000000
1000 1 3 tree best_move 0.197000 10 203515 202994.200000 372.833689 743.100000 19.294818 0.000000
1000 1 3 tree first_move 0.105000 10 203545 203156.200000 394.150682 1052.200000 29.734828 0.000000
1000 1 3 basic first_move 1.262000 10 203834 203127.900000 351.830769 1046.700000 30.724746 0.000000
1000 1 4 bs_array best_move 1.200000 10 212487 211798.000000 567.211601 762.200000 20.908372 0.000000
1000 1 4 bs_array first_move 0.036000 10 212895 211816.400000 515.540532 1079.400000 28.803472 0.000000
1000 1 4 tree best_move 0.207000 10 212539 211725.200000 487.303150 759.500000 17.258331 0.000000
1000 1 4 tree first_move 0.133000 10 212596 211407.300000 691.500260 1074.400000 23.495531 0.000000
