fo time ls_time n_ls_moves
7 210541 7 1013
18 211767 8 1079
28 211727 8 1053
38 211077 8 1037
48 212310 8 1085
59 211955 8 1055
69 211467 8 1069
79 211524 8 1034
90 210201 8 1072
100 212163 8 1067
111 211779 8 1070
123 211783 9 1062
137 211273 12 1042
149 211770 9 1083
160 211056 8 1067
170 212902 8 1067
181 211703 9 1066
192 211006 8 1047
203 211398 8 1073
213 212313 8 1089
224 211464 8 1062
234 211392 8 1095
245 212910 8 1079
256 212088 8 1051
266 210951 7 1013
276 211699 8 1055
287 212452 8 1106
298 211267 8 1079
308 211467 7 1032
320 211384 9 1074
331 212259 9 1082
346 211850 10 1066
357 212188 8 1074
367 212476 8 1117
377 212227 8 1045
388 211543 8 1108
398 212762 8 1074
409 211097 8 1073
420 211251 8 1064
430 211863 8 1081
441 211872 8 1105
451 212187 8 1053
461 212089 8 1031
471 211224 8 1062
481 212226 7 1017
492 212767 8 1057
506 211801 9 1055
518 211553 9 1071
531 211266 9 1048
546 210989 12 1036
558 212084 8 1035
568 211261 8 1126
579 210685 7 1043
589 212020 8 1052
600 210902 8 1038
610 212374 8 1061
620 210788 8 1095
631 210370 8 1027
641 212034 8 1089
652 211252 8 1097
662 211946 7 1045
672 212126 7 1034
682 212258 8 1084
693 212405 8 1127
703 212021 8 1074
713 210569 7 1039
724 210870 9 1100
736 212893 8 1110
750 211617 11 1030
761 211874 7 1034
773 212105 9 1089
783 211764 7 1055
793 211670 8 1100
804 211809 8 1089
814 212939 8 1099
824 211423 8 1043
834 210652 7 1059
844 211360 7 1026
855 211867 8 1057
865 211937 8 1092
876 212454 8 1094
886 211220 8 1097
897 211845 8 1090
907 211847 8 1095
918 212195 8 1036
929 212139 9 1071
940 212361 8 1088
956 211647 12 1071
966 211812 7 1007
976 212467 8 1049
987 212045 8 1071
998 211667 8 1088
1015 211814 15 1053
1031 210646 11 1077
1045 211513 9 1078
1057 211762 9 1058
1069 211622 9 1050
1079 211753 8 1054
1090 211270 7 1026
1101 211662 8 1063
1111 211913 8 1065
1122 211508 8 1098
1134 211578 10 1083
1145 212010 8 1016
1160 211688 10 1082
1170 211070 7 1042
1180 212467 8 1084
1192 211135 9 1084
1203 212066 8 1060
1213 210531 8 1066
1223 212321 8 1076
1234 211841 8 1063
1244 212148 8 1055
1254 211042 8 1050
1264 211807 7 1048
1274 211927 7 1021
1285 211385 8 1088
1295 210179 7 1037
1305 212939 8 1068
1315 211898 8 1047
1325 211472 8 1073
1339 211836 11 1099
1358 212680 15 1101
1370 212200 9 1065
1379 212332 7 1033
1390 211645 8 1091
1400 212581 8 1036
1411 212300 8 1093
1420 211310 7 1042
1432 211937 9 1079
1442 212387 8 1066
1453 211665 8 1051
1463 210543 7 1033
1473 211807 8 1113
1483 211248 8 1066
1494 211279 8 1037
1504 210830 7 1004
1514 211077 8 1061
1524 211072 8 1058
1536 211505 9 1093
1548 212459 9 1111
1564 212254 11 1076
1575 212055 8 1077
1585 211547 8 1095
1596 212834 8 1080
1606 211667 7 1045
1617 211574 9 1028
1628 210977 8 1081
1639 211757 8 1062
1649 211869 8 1044
1660 212664 8 1079
1670 211641 8 1053
1680 211025 8 1078
1691 211687 8 1083
1701 212686 8 1061
1712 211785 8 1096
1722 211070 8 1070
1732 212069 7 1063
1743 211662 9 1028
1754 211393 8 1055
1769 212335 10 1101
1779 211893 8 1043
1789 212132 8 1076
1800 211699 8 1083
1810 211868 7 1032
1820 212156 8 1103
1831 212392 8 1081
1841 211938 8 1071
1851 212342 8 1082
1862 211245 8 1077
1872 211785 8 1047
1883 212759 9 1113
1894 212500 8 1067
1904 211274 8 1049
1914 212645 8 1090
1924 211569 7 1035
1934 211867 7 1022
1946 212420 9 1066
1958 212126 9 1091
1968 210851 8 1060
1984 211841 13 1077
1995 211312 8 1079
2006 211698 8 1055
2016 212428 8 1051
2027 211829 8 1085
2038 212348 8 1052
2048 211649 8 1089
2058 211455 8 1044
2069 211972 8 1111
2079 211963 8 1063
2089 211936 7 1040
2100 212350 8 1035
2110 212435 8 1065
2120 212991 8 1086
2130 211321 8 1039
2140 211667 7 1049
2152 211630 9 1046
2167 212572 12 1109
2179 210586 8 1067
2189 210887 8 1080
2199 211608 7 1059
2211 210960 9 1063
2223 212931 10 1122
2233 211165 8 1065
2243 211781 8 1080
2254 211801 8 1074
2264 212326 8 1072
2274 212210 7 1001
2285 212408 8 1108
2295 211503 8 1089
2306 211595 8 1074
2316 212019 8 1057
2327 212654 8 1069
2337 211599 8 1054
2348 211768 8 1044
2359 211228 8 1087
2376 212070 13 1070
2386 212017 8 1057
2396 210734 8 1061
2407 212030 8 1087
2417 211126 7 1016
2427 212050 8 1100
2439 212118 8 1103
2449 211472 7 1046
2459 212608 8 1106
2469 211369 7 1047
2479 211368 7 1037
2490 212071 8 1099
2501 213463 8 1101
2511 211911 8 1066
2522 212745 8 1097
2532 211633 8 1058
2542 212101 7 1050
2554 212457 10 1047
2566 210594 8 1073
2585 211436 14 1068
2595 210938 8 1029
2606 211507 8 1099
2617 211603 8 1070
2628 212155 8 1023
2639 211950 8 1025
2649 211915 8 1071
2659 211225 8 1038
2670 211943 8 1071
2680 212085 8 1070
2690 211923 8 1076
2700 211168 7 1015
2710 211346 7 1016
2720 211007 7 1033
2730 212222 7 1038
2741 212345 8 1123
2752 211815 8 1109
2764 211144 9 1064
2779 211798 12 1086
2790 211684 8 1024
2800 210457 8 1035
2810 210710 8 1067
2820 211629 8 1069
2832 211500 9 1067
2843 213329 8 1101
2853 211294 8 1081
2863 212305 7 1014
2874 211398 8 1050
2884 211232 7 1007
2895 211258 8 1133
2905 211300 8 1063
2915 211508 7 1030
2926 212130 8 1073
2936 211749 8 1076
2946 212309 8 1087
2958 212622 9 1068
2969 211572 9 1075
2986 212971 13 1108
2996 210565 7 998
3006 211454 8 1026
3018 213028 9 1132
3028 211345 8 1067
3038 211583 8 1050
3049 211295 8 1056
3059 211984 8 1055
3070 211651 8 1050
3080 212029 7 997
3090 212095 8 1041
3100 212292 8 1041
3111 211759 8 1092
3121 212846 8 1093
3131 211199 7 1032
3141 210611 7 1030
3151 211944 8 1076
3164 212739 10 1103
3176 211107 9 1096
3192 212998 12 1095
3203 210852 8 1074
3213 211257 7 1046
3225 211447 9 1070
3235 211695 8 1057
3246 212434 8 1063
3257 212942 8 1073
