fo time ls_time n_ls_moves
182 1606714 182 2096
368 1605884 180 2106
526 1603926 151 2196
747 1604290 215 2150
889 1603984 135 2015
1216 1605427 320 2153
1402 1606268 179 2081
1578 1603923 169 2103
1801 1604966 216 2114
2012 1601680 204 2113
2249 1606090 231 2341
2458 1609196 202 2324
2614 1603238 149 2144
2811 1601203 191 2057
3012 1606195 195 2203
3195 1604091 176 2061
3367 1600712 165 2016
3514 1602898 141 1987
3673 1603835 153 2068
3843 1607463 162 2140
4078 1605909 229 2206
4284 1607260 200 2181
4449 1606695 158 2086
4634 1600906 178 2032
4789 1603422 148 2002
4999 1603462 203 2120
5178 1603793 172 2179
5406 1607019 222 2239
5527 1604432 114 2049
5686 1604979 153 2110
5882 1606451 189 2083
6126 1605950 238 2016
6277 1600731 144 2068
6484 1608484 201 2201
6684 1602141 194 2062
6897 1602569 206 2114
7063 1603374 160 2160
7281 1603983 211 2024
7449 1602464 162 2068
7645 1604575 190 2081
7869 1603519 217 2192
8069 1602382 193 2207
8289 1606158 213 2197
8513 1604624 218 2191
8704 1604123 184 2050
8897 1606603 187 2225
9112 1603663 208 2124
9298 1604448 179 2153
9563 1603252 258 2090
9784 1604590 215 2180
9952 1602666 161 2108
10132 1602213 174 2166
10294 1605738 155 2092
10464 1603244 163 2116
10620 1604952 149 2028
10774 1604565 147 2034
10962 1602795 182 2095
11145 1608272 177 2252
11291 1598705 139 1933
11456 1605288 159 2127
11682 1604352 219 2086
11889 1602450 200 2223
12044 1601239 148 2156
12232 1605860 182 2229
12399 1602547 160 2062
12627 1602595 222 2067
12827 1606225 193 2092
13046 1604312 212 2188
13212 1604361 160 2193
13400 1603280 181 2065
13554 1605053 148 2169
13713 1600498 152 1995
13915 1608911 196 2167
14061 1602481 139 2063
14254 1600303 187 2058
14439 1604377 179 2060
14632 1602754 186 2166
14831 1603978 192 2130
15032 1603602 195 2057
15205 1604576 166 2147
15479 1604154 267 2138
15698 1606646 213 2154
15866 1605118 161 2129
16076 1606782 203 2210
16301 1604732 219 2274
16552 1604969 244 2215
16694 1600622 136 2045
16891 1605871 190 2274
17043 1602052 146 1971
17257 1604222 207 2036
17433 1603405 170 1991
17596 1602945 156 2046
17731 1600854 129 1992
17887 1602270 149 2080
18054 1606312 160 2054
18233 1601969 173 2025
18426 1605290 186 2194
18618 1602739 184 2112
18781 1602844 156 2081
18933 1605195 145 2185
19097 1603111 157 2093
19306 1608672 203 2237
19522 1607906 209 2200
19735 1601434 207 2061
19965 1604916 223 2181
20220 1607948 248 2250
20417 1609903 191 2262
20592 1603020 168 2123
20763 1606610 164 2177
20971 1605462 202 2145
21147 1600113 169 2083
21312 1602328 158 2078
21480 1606495 161 2051
21629 1602967 142 2086
21795 1603578 160 2144
21972 1604014 171 2120
22163 1605579 184 2249
22397 1606016 228 2130
22541 1600092 137 2095
22787 1605428 240 2124
22997 1602915 203 2075
23270 1607183 267 2206
23436 1603635 160 2078
23603 1602955 160 2044
23770 1604970 160 2082
23965 1604163 188 2039
24216 1603717 245 2058
24448 1606950 225 2184
24673 1605627 218 2160
24900 1605153 219 2082
25042 1602305 136 2093
25211 1605665 162 2115
25452 1605859 234 2227
25660 1602767 202 2175
25834 1606696 166 2127
26034 1603537 193 2162
26224 1601870 184 2067
