fo time ls_time n_ls_moves
51 1621256 51 1992
119 1621546 62 2215
180 1623765 54 2186
237 1623859 51 2064
302 1623598 59 2072
364 1623231 56 2167
423 1623627 53 2099
486 1618353 57 2037
552 1625930 59 2219
613 1621847 55 2145
684 1621247 64 2044
745 1619986 53 2031
801 1623245 49 2022
867 1623391 60 2249
928 1623350 53 2048
991 1625181 57 2184
1076 1623941 79 2149
1152 1627558 67 2270
1212 1623275 54 2093
1276 1625827 57 2178
1343 1624219 59 2190
1402 1625241 53 2192
1463 1622999 54 2155
1531 1621674 61 2119
1593 1623255 55 2150
1657 1621264 50 2046
1726 1626065 62 2200
1788 1627190 56 2199
1849 1625993 55 2227
1913 1624281 58 2060
1976 1623991 55 2086
2035 1618444 53 2086
2106 1623711 65 2167
2174 1623844 59 2078
2233 1621580 53 2090
2291 1623289 51 2035
2356 1623501 59 2102
2420 1622132 56 2143
2478 1622014 52 2038
2541 1623154 56 2073
2601 1623763 52 2074
2665 1627149 57 2262
2731 1622857 59 2132
2791 1623761 54 2150
2853 1624029 56 2238
2922 1625329 63 2197
2981 1622467 53 2157
3039 1625137 51 2119
3095 1622412 50 1969
3165 1623935 63 2102
3224 1624491 51 2109
3287 1623396 57 2176
3361 1626316 67 2132
3432 1627335 65 2212
3492 1623194 54 2153
3561 1624810 61 2165
3616 1619054 49 2034
3672 1621198 49 2027
3743 1621755 65 2215
3806 1623181 56 2125
3867 1622787 55 2151
3934 1623775 60 2205
3996 1624008 55 2172
4057 1622834 54 2231
4116 1623793 52 2141
4184 1628239 62 2263
4244 1624487 54 2133
4302 1624385 51 2051
4367 1625467 59 2192
4429 1621871 55 2152
4490 1622127 55 2182
4554 1624141 57 2095
4613 1621232 53 2105
4674 1627193 55 2245
4743 1624230 62 2148
4804 1622397 53 2089
4871 1627424 60 2300
4931 1624498 53 2115
5001 1625062 63 2218
5059 1621139 51 1995
5118 1622243 53 2071
5187 1624390 61 2221
5246 1620778 53 2028
5306 1621631 54 2169
5371 1619263 58 2035
5428 1621046 50 2101
5502 1624294 68 2222
5566 1621069 57 2028
5627 1626374 55 2118
5692 1624473 59 2180
5758 1620300 60 2064
5821 1624462 56 2182
5885 1626995 57 2189
5945 1621845 54 2122
6012 1623332 61 2143
6070 1622502 51 2103
6131 1622711 55 2150
6204 1625916 66 2216
6264 1622641 54 2157
6323 1624030 52 2072
6389 1623401 60 2084
6456 1625049 61 2338
6518 1626720 55 2274
6585 1625978 61 2177
6644 1623103 52 2153
6703 1623229 54 2092
6771 1625824 61 2227
6836 1624759 56 2167
6898 1624727 56 2242
6956 1622851 52 2085
7025 1624852 63 2274
7082 1623163 50 2060
7146 1622655 58 2225
7211 1623814 59 2137
7273 1618537 55 2214
7332 1624584 52 2069
7415 1628152 76 2249
7481 1624452 60 2219
7540 1622196 53 2130
7603 1623226 57 2065
7668 1623062 58 2141
7729 1624174 54 2108
7789 1621963 54 2048
7849 1624706 52 2118
7905 1620812 50 1973
7965 1623951 54 2214
8030 1621029 57 2090
8088 1619554 51 2026
8146 1624473 52 2077
8210 1623842 58 2022
8272 1621428 55 2077
8330 1623296 52 2214
8391 1618516 54 2105
8457 1625618 58 2222
8518 1625424 54 2178
8583 1625151 59 2196
8649 1618586 59 2076
8714 1625047 59 2207
8781 1625640 60 2227
8849 1626981 62 2281
8912 1620673 57 2097
8969 1625877 50 2128
9036 1623754 60 2156
9095 1622849 52 2140
9151 1620255 50 2082
9224 1626098 67 2189
9289 1627102 58 2150
9349 1624102 54 2123
9414 1623857 58 2223
9470 1616520 49 1915
9527 1619967 50 2034
9583 1621289 50 2061
9660 1629685 71 2337
9723 1625676 56 2216
9782 1620588 53 2128
9851 1622256 62 2113
9912 1620393 54 1992
9971 1619766 52 2063
10042 1618368 64 2057
10113 1625846 64 2280
10170 1624231 51 2064
10239 1627877 63 2136
10303 1624899 58 2161
10365 1624992 55 2165
10432 1623722 61 2099
10497 1624429 58 2180
10553 1620012 50 2020
10616 1621847 56 2117
10680 1622588 57 2152
10737 1623387 51 2099
10797 1620580 52 2133
10861 1624781 58 2149
10922 1625402 55 2222
10978 1625091 50 2038
11042 1623202 57 2092
11101 1622579 52 2140
11161 1624415 53 2145
11224 1622677 56 2144
11291 1624718 60 2165
11359 1624036 57 2200
11417 1622155 53 2128
11485 1623171 59 2135
11545 1621707 54 2107
11606 1622292 54 2163
11671 1622710 59 2154
11729 1621837 51 2046
11792 1625535 56 2283
11854 1620261 56 2102
11916 1621631 55 2126
11975 1623161 53 2145
12035 1623947 53 2036
12101 1622786 59 2123
12163 1623493 56 2104
12221 1622837 51 2062
12288 1623782 60 2146
