fo time ls_time n_ls_moves
697 1618173 697 1358
1449 1619144 745 1369
2092 1615138 636 1246
2777 1612765 678 1299
3479 1619513 695 1364
4249 1618452 764 1426
4929 1617690 673 1292
5608 1619697 673 1298
6307 1615960 692 1333
7027 1615865 713 1385
7764 1617410 730 1428
8436 1615776 665 1293
9110 1615482 668 1293
9788 1616191 671 1256
10467 1615754 673 1310
11166 1617005 692 1329
11867 1617859 694 1366
12574 1615306 701 1314
13264 1619398 683 1323
13966 1617497 695 1349
14732 1620382 760 1497
15373 1612652 635 1223
16058 1615459 678 1315
16773 1618364 707 1399
17414 1610591 634 1222
18062 1614035 642 1244
18749 1613790 679 1319
19458 1616060 703 1362
20153 1615455 688 1312
20811 1615438 652 1274
21504 1617689 686 1317
22200 1618293 689 1354
22885 1618289 679 1316
23609 1618178 716 1381
24270 1613833 654 1267
24998 1615277 722 1412
25701 1617243 696 1364
26408 1618089 700 1350
27081 1615515 666 1298
27803 1617783 716 1351
28540 1620950 731 1440
29240 1620366 693 1344
29954 1618328 707 1384
30624 1616152 663 1282
31290 1616202 660 1298
31975 1619915 679 1316
32682 1618283 701 1362
33386 1616277 696 1361
34061 1612988 669 1298
34736 1612747 668 1278
35396 1615639 654 1264
36114 1618291 712 1373
36819 1615090 697 1378
37501 1617225 676 1311
38172 1618087 663 1300
38839 1616814 660 1294
39481 1613619 636 1240
40184 1615489 697 1349
40831 1617082 641 1237
41521 1618532 684 1338
42231 1615637 704 1366
42949 1619256 710 1371
43647 1616986 692 1348
44325 1613766 672 1309
44945 1614261 613 1195
45615 1613502 663 1284
46272 1611976 650 1247
46930 1614766 652 1267
47588 1614518 652 1267
48303 1615726 708 1369
48985 1616723 676 1320
49683 1615884 692 1334
50372 1616360 682 1296
51044 1614109 657 1284
51681 1614514 630 1242
52350 1614315 662 1281
53067 1619889 710 1387
53695 1612307 622 1218
54339 1615389 638 1239
55023 1615337 677 1314
55689 1615308 660 1286
56359 1613982 663 1289
57012 1615500 647 1247
57697 1614407 676 1294
58345 1615601 642 1251
59064 1618785 712 1377
59754 1619433 684 1321
60390 1613502 630 1236
61102 1615263 706 1352
61749 1614121 641 1252
62438 1618005 683 1319
63091 1611628 646 1264
63824 1618087 725 1405
64501 1614968 671 1301
65244 1616225 736 1391
65917 1616668 667 1295
66630 1617770 707 1345
67354 1619744 717 1404
68044 1616605 684 1316
68778 1617832 727 1427
69429 1613568 644 1245
70058 1613630 623 1199
70697 1613323 632 1238
71413 1617563 709 1386
72078 1612268 659 1268
72785 1618184 701 1333
73515 1621012 723 1414
74211 1617359 689 1331
74899 1619437 682 1337
75574 1618491 666 1287
76250 1616937 669 1318
76942 1616363 685 1320
77598 1612305 649 1258
78298 1616312 694 1350
78939 1615736 634 1232
79635 1620807 688 1320
80392 1616882 751 1459
81109 1622785 711 1397
81793 1616262 677 1326
82475 1617050 674 1301
83140 1613021 659 1286
83864 1617068 717 1372
84510 1615086 640 1249
85198 1616290 681 1310
