fo time ls_time n_ls_moves
82 861582 82 1134
194 860863 98 1131
293 859387 83 1087
406 861657 96 1133
520 864149 100 1223
632 861950 91 1147
745 861950 99 1151
853 865530 93 1146
978 861444 109 1164
1114 860937 108 1116
1239 861285 97 1153
1343 862543 90 1081
1451 864809 92 1183
1564 860542 98 1130
1685 865339 107 1229
1799 860205 95 1104
1903 862808 89 1185
2013 862289 96 1131
2114 860097 86 1142
2231 862709 103 1178
2334 863151 89 1169
2450 863035 99 1211
2563 863468 98 1121
2669 858308 87 1090
2778 860782 94 1081
2883 862378 90 1136
2997 863893 100 1207
3108 863012 95 1213
3225 864983 102 1198
3328 864041 89 1178
3443 863485 100 1197
3542 861171 85 1101
3656 862181 97 1156
3762 864677 92 1176
3874 861573 91 1131
3988 862410 99 1175
4096 862808 93 1181
4207 862267 97 1134
4314 862361 91 1172
4428 861896 99 1157
4533 861934 91 1195
4648 862780 101 1168
4754 863635 91 1203
4868 860476 100 1125
4969 861324 87 1124
5083 862928 97 1164
5194 862412 97 1162
5311 861576 91 1159
5422 859853 97 1133
5527 861983 91 1162
5639 861343 97 1155
5743 864000 89 1140
5859 861666 102 1188
5968 864091 94 1207
6076 861862 93 1072
6173 860007 83 1100
6282 863053 95 1105
6386 861395 89 1176
6504 860227 104 1093
6603 859274 85 1132
6717 862993 97 1125
6828 863828 96 1239
6934 861100 85 1122
7051 862717 103 1209
7155 863460 90 1157
7269 862449 99 1146
7371 860089 87 1120
7483 862653 98 1148
7588 863519 90 1199
7698 861450 96 1070
7803 863368 90 1182
7916 862134 98 1123
8014 859503 84 1118
8126 862029 97 1162
8224 860219 83 1079
8347 859802 107 1142
8452 860515 90 1153
8572 864110 99 1170
8682 858709 95 1105
8785 863055 88 1134
8892 862580 93 1118
8996 861897 89 1183
9112 863842 102 1139
9218 861041 91 1170
9334 862951 101 1177
9433 861346 84 1109
9549 861930 102 1168
9648 858656 84 1099
9758 862201 93 1124
9862 861934 90 1182
9977 864911 98 1169
10084 862144 92 1141
10190 861666 86 1129
10308 862405 103 1164
10413 862472 90 1119
10534 865294 107 1203
10639 861760 90 1162
10757 863464 104 1229
10857 861764 85 1108
10976 863128 104 1210
11081 864275 90 1189
11197 862926 98 1165
11299 861654 87 1105
11406 860924 86 1092
11519 859689 98 1143
11620 862371 87 1121
11762 862398 102 1116
11864 860100 86 1125
11981 864113 103 1180
12088 863158 92 1219
12201 862057 95 1164
12311 862360 96 1200
12419 860328 86 1086
12535 863690 101 1152
12642 862302 92 1179
12759 866386 103 1218
12864 861020 90 1195
12987 862447 108 1215
13088 863044 85 1132
13202 860888 100 1136
13305 861935 88 1120
13416 860868 94 1107
13518 862049 87 1152
13626 861546 91 1101
13733 862788 92 1186
13846 863108 92 1161
13965 862108 104 1209
14067 862540 88 1117
14177 862473 96 1106
14279 861404 87 1138
14392 858162 99 1079
14495 863032 88 1134
14605 859773 96 1110
14710 862078 89 1181
14822 861610 97 1136
14929 862811 92 1213
15043 863772 97 1145
15150 862293 92 1154
15260 861146 90 1130
15360 860344 86 1106
15468 862506 87 1146
15572 861469 89 1093
15681 863826 89 1162
15796 860863 100 1169
15898 861068 88 1141
16014 863506 102 1130
16122 860938 89 1131
16240 863536 104 1131
16340 861943 85 1122
16456 861267 102 1172
16556 860333 84 1094
16668 861420 94 1110
16775 864838 92 1182
16884 859761 90 1130
16996 863192 97 1162
17104 861902 89 1133
17209 862432 91 1072
17310 863148 86 1141
17420 863233 95 1149
17526 861621 90 1187
17636 862465 95 1124
17739 862670 87 1126
17852 861226 99 1143
17951 861204 84 1105
18060 860665 95 1115
18163 860014 86 1134
18282 862040 105 1148
18386 861555 89 1152
18499 859429 95 1096
18596 860300 82 1076
18710 861717 98 1183
18810 857532 85 1068
18924 862825 93 1178
19037 861827 99 1178
19142 861307 91 1182
19256 862057 100 1179
19353 859118 82 1092
19463 861593 96 1120
19563 858699 85 1084
19681 861190 104 1134
19783 860047 85 1112
19902 863861 104 1235
20001 859538 84 1110
20108 859682 93 1060
20205 859818 82 1088
20319 861918 99 1118
20421 862659 88 1149
20533 861445 95 1121
20636 862152 88 1126
20748 860559 91 1138
20869 864962 106 1195
20977 862088 93 1174
21090 860933 99 1144
21196 864432 91 1189
21311 863823 101 1206
21417 862494 89 1168
21532 865027 100 1157
21631 860781 84 1133
21744 862022 98 1162
21842 861323 83 1099
21953 861667 93 1147
22053 862217 85 1105
22164 863456 93 1147
22285 864061 106 1226
22390 862500 90 1160
22501 862039 96 1138
22602 860201 86 1108
22713 860636 96 1085
22833 864116 101 1199
22941 860541 94 1102
23048 862631 92 1198
23164 863182 102 1160
23265 859168 86 1122
23381 861441 99 1165
23502 863487 106 1268
23622 862673 98 1175
23742 862266 106 1175
23846 861085 86 1110
23960 860951 99 1114
24060 860161 85 1127
24174 860997 100 1190
24277 862640 89 1147
24387 860146 93 1096
24500 865576 98 1218
24613 863906 93 1183
24723 860917 94 1107
24824 861026 86 1111
24939 861734 101 1124
25043 862325 89 1129
25158 861159 100 1170
25267 862524 95 1216
25386 863351 104 1243
25488 862341 88 1133
25600 859970 96 1095
25699 862833 85 1113
25820 864657 103 1217
25923 861375 88 1116
26027 859282 84 1099
26140 861813 98 1160
26242 859874 86 1115
26355 860808 98 1138
26463 863698 92 1195
26575 862231 97 1156
26678 862197 88 1155
26788 862825 96 1140
26897 865331 92 1200
27008 860681 96 1100
27105 861094 83 1096
27216 862151 96 1124
27314 861885 83 1084
27430 861914 101 1157
27528 860976 83 1098
27642 862148 96 1090
27745 862897 88 1133
27850 860251 85 1108
27952 860818 87 1113
28062 861134 90 1138
28160 857104 84 1051
28269 860782 89 1126
28385 860993 102 1190
28487 860681 87 1092
28600 861875 99 1177
28707 866360 92 1180
28824 862176 102 1144
28926 860922 85 1120
29039 862257 99 1111
29140 861938 86 1135
29254 863354 100 1195
29357 862773 89 1168
29471 861813 96 1179
29570 859746 85 1094
29675 862501 87 1078
29787 863169 97 1190
29895 860227 89 1132
30007 860074 97 1133
30105 857692 83 1070
30224 863820 104 1146
30332 864040 93 1185
30448 864225 102 1174
30551 863265 86 1125
30664 862947 99 1158
30771 865324 93 1231
30884 860435 97 1146
30995 864457 96 1233
31110 863116 95 1110
31214 862275 90 1106
31328 860837 93 1110
31442 863827 100 1151
31548 860576 91 1138
31666 861946 103 1145
31769 861825 88 1147
31873 860415 90 1062
31978 863832 90 1200
32093 863441 101 1159
32197 864185 90 1180
32309 860780 94 1142
32413 860497 88 1133
32523 861590 91 1128
32625 862955 88 1130
32737 864519 92 1198
32856 861741 104 1179
32959 862357 88 1135
33073 861730 99 1127
33178 864191 90 1141
33284 860099 91 1077
33391 865055 92 1219
33505 861288 99 1124
33605 861026 85 1130
33717 861271 98 1137
33819 863333 88 1159
33929 860808 93 1100
34031 862687 88 1148
34147 862005 97 1133
34251 861101 89 1149
34363 863373 91 1161
34473 862305 95 1120
34578 863037 90 1154
34688 861865 95 1122
34792 863406 89 1154
34904 863848 98 1169
35007 862277 89 1144
35124 860991 103 1190
35225 862766 84 1088
35341 860674 102 1114
35443 863472 88 1172
35562 863358 103 1208
35667 864195 91 1158
35773 862399 86 1091
35882 862160 95 1156
35988 858765 87 1118
36105 864250 103 1226
36218 863599 98 1251
36336 862539 104 1237
36446 864188 94 1218
36570 862303 109 1223
36672 861082 87 1148
36786 859975 94 1108
36897 862694 96 1196
37006 862503 91 1162
37113 860834 92 1098
37214 861426 86 1117
37324 861242 96 1144
37430 861775 91 1176
37542 861008 98 1105
37651 864508 94 1191
37764 864280 98 1149
37864 862630 86 1140
37987 862391 109 1179
38085 861826 83 1093
38195 861820 93 1086
38298 863097 89 1185
38414 862976 98 1182
38528 861703 100 1191
38625 859222 81 1073
38741 859646 101 1165
38851 861513 94 1130
38970 858036 103 1110
39076 864146 90 1166
39196 862413 106 1178
39301 863123 90 1182
39409 860153 93 1097
39512 862816 89 1175
39627 862963 97 1127
39738 864977 97 1237
39842 858712 84 1106
39953 861797 97 1176
40058 861464 90 1140
40173 863949 100 1179
40276 860376 89 1139
