!Exp Random multi restar (85s)
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd mean2_round_time
1000 1 1 bs_array best_move 85.047000 703 210545 208278.485064 639.586851 758.736842 20.219785 0.000000
1000 1 1 bs_array first_move 85.002000 22653 211080 208550.838697 620.006200 1061.800335 28.972743 0.000000
1000 1 1 tree best_move 85.016000 3992 210727 208254.248246 620.908037 758.313627 20.498065 0.000000
1000 1 1 tree first_move 85.004000 7463 210735 208549.738711 618.288040 1061.872035 28.485923 0.000000
1000 1 1 basic first_move 85.122000 939 210446 208562.123536 632.559604 1061.365282 28.307638 0.000000
1000 1 2 bs_array best_move 85.065000 719 206405 204409.944367 628.475998 754.598053 20.235087 0.000000
1000 1 2 bs_array first_move 85.001000 22908 206906 204636.545443 599.910409 1060.168413 28.844870 0.000000
1000 1 2 tree best_move 85.013000 4084 206749 204419.269344 618.415698 753.833986 20.079088 0.000000
1000 1 2 tree first_move 85.005000 7877 206691 204642.423385 600.618433 1060.355846 28.786973 0.000000
1000 1 2 basic first_move 85.007000 932 206189 204634.733906 590.259334 1060.458155 28.625324 0.000000
1000 1 3 bs_array best_move 85.056000 736 204475 203048.824728 569.370236 748.305707 19.871127 0.000000
1000 1 3 bs_array first_move 85.001000 23542 205556 203258.935689 573.829224 1051.541373 28.372548 0.000000
1000 1 3 tree best_move 85.011000 4213 205110 203033.954901 571.950375 748.602421 19.610636 0.000000
1000 1 3 tree first_move 85.013000 8341 205672 203257.006594 579.498959 1051.934420 28.450073 0.000000
1000 1 3 basic first_move 85.030000 964 205138 203247.940871 577.865345 1051.789419 28.480033 0.000000
1000 1 4 bs_array best_move 85.114000 717 213386 211538.451883 609.465685 759.317992 20.284088 0.000000
1000 1 4 bs_array first_move 85.004000 22726 213986 211773.777744 604.537102 1069.362140 28.630343 0.000000
1000 1 4 tree best_move 85.018000 4055 213541 211511.388409 589.583559 759.516646 19.531508 0.000000
1000 1 4 tree first_move 85.001000 7798 213766 211781.007694 591.013810 1069.637086 28.885991 0.000000
1000 1 4 basic first_move 85.019000 889 214087 211807.473566 613.758060 1069.872891 29.756126 0.000000
1000 1 5 bs_array best_move 85.077000 719 211427 209819.663421 619.425393 758.169680 21.253857 0.000000
1000 1 5 bs_array first_move 85.001000 22523 212510 210013.550326 614.505376 1063.658704 28.871376 0.000000
1000 1 5 tree best_move 85.014000 4010 212074 209851.054863 610.674155 756.900499 20.067090 0.000000
1000 1 5 tree first_move 85.003000 7490 212248 210030.622697 619.865090 1063.824566 28.555816 0.000000
1000 1 5 basic first_move 85.063000 930 211674 210002.103226 624.487210 1064.921505 27.524950 0.000000
1000 5 1 bs_array best_move 85.132000 223 856865 853135.533632 1523.106045 1151.591928 40.492476 0.000000
1000 5 1 bs_array first_move 85.015000 3763 858973 854168.461334 1439.370910 1775.593410 52.821597 0.000000
1000 5 1 tree best_move 85.081000 777 858218 853190.727156 1547.352430 1149.595882 40.871288 0.000000
1000 5 1 tree first_move 85.046000 684 858450 854292.706140 1434.103977 1779.913743 52.319837 0.000000
1000 5 1 basic first_move 85.138000 566 858905 854135.524735 1452.151482 1776.883392 51.228621 0.000000
1000 5 2 bs_array best_move 85.058000 222 862031 857685.373874 1521.969235 1156.509009 39.426833 0.000000
1000 5 2 bs_array first_move 85.012000 3722 864274 858683.357603 1499.664692 1783.432563 54.379519 0.000000
1000 5 2 tree best_move 85.055000 769 863482 857658.685306 1552.519405 1152.721717 41.273304 0.000000
1000 5 2 tree first_move 85.102000 676 863695 858589.278107 1572.527322 1782.315089 52.953059 0.000000
1000 5 2 basic first_move 85.089000 579 862888 858640.664940 1548.192452 1785.697755 53.470604 0.000000
1000 5 3 bs_array best_move 85.289000 224 865835 862810.857143 1404.016374 1149.334821 42.632561 0.000000
1000 5 3 bs_array first_move 85.010000 3748 869131 863893.345518 1443.006856 1781.233725 52.945183 0.000000
1000 5 3 tree best_move 85.026000 770 867295 862875.353247 1546.835420 1150.510390 40.458997 0.000000
1000 5 3 tree first_move 85.036000 680 868187 863847.939706 1516.285681 1781.727941 55.134550 0.000000
1000 5 3 basic first_move 85.039000 616 867989 863836.379870 1369.434898 1777.301948 54.144975 0.000000
1000 5 4 bs_array best_move 85.156000 224 866398 862037.598214 1625.872474 1147.683036 41.098558 0.000000
1000 5 4 bs_array first_move 85.004000 3768 868482 863135.889066 1445.451881 1775.844214 53.078637 0.000000
1000 5 4 tree best_move 85.083000 780 866386 862038.748718 1492.586491 1147.073077 40.207711 0.000000
1000 5 4 tree first_move 85.125000 686 867134 863149.701166 1531.631435 1772.900875 55.606217 0.000000
1000 5 4 basic first_move 85.049000 591 867489 863044.453469 1484.854198 1774.725888 54.481056 0.000000
1000 5 5 bs_array best_move 85.201000 224 860558 856673.642857 1522.923034 1150.473214 42.647948 0.000000
1000 5 5 bs_array first_move 85.007000 3757 862678 857720.985094 1510.449618 1784.066542 53.618998 0.000000
1000 5 5 tree best_move 85.093000 756 861589 856634.920635 1604.612663 1149.194444 40.741806 0.000000
1000 5 5 tree first_move 85.078000 673 863317 857753.472511 1540.686260 1782.092125 53.450152 0.000000
1000 5 5 basic first_move 85.075000 570 861876 857650.291228 1504.835434 1783.422807 54.294859 0.000000
1000 10 1 bs_array best_move 85.597000 126 1606672 1602408.896825 1876.648244 1308.634921 48.802908 0.000000
1000 10 1 bs_array first_move 85.017000 1364 1610644 1604014.451613 2132.975296 2122.829179 69.020829 0.000000
1000 10 1 tree best_move 85.092000 297 1608684 1602743.606061 2321.841933 1316.663300 52.677864 0.000000
1000 10 1 tree first_move 85.001000 217 1609352 1603995.350230 2244.783031 2118.211982 73.199313 0.000000
1000 10 1 basic first_move 85.144000 449 1609903 1604021.897550 2065.552889 2121.895323 68.762236 0.000000
1000 10 2 bs_array best_move 85.383000 124 1627199 1622055.951613 2259.879385 1320.330645 48.074660 0.000000
1000 10 2 bs_array first_move 85.055000 1356 1631673 1623566.898968 2155.858106 2123.360619 69.705071 0.000000
1000 10 2 tree best_move 85.006000 293 1629761 1621965.962457 2285.738504 1317.215017 53.708716 0.000000
1000 10 2 tree first_move 85.143000 216 1629731 1623771.185185 2180.647757 2125.328704 70.071910 0.000000
1000 10 2 basic first_move 85.213000 470 1629224 1623669.138298 2196.208378 2124.657447 69.609455 0.000000
1000 10 3 bs_array best_move 85.232000 124 1626905 1621497.040323 2141.301791 1319.959677 57.826966 0.000000
1000 10 3 bs_array first_move 85.006000 1361 1630446 1623184.133725 2093.327798 2123.286554 70.832450 0.000000
1000 10 3 tree best_move 85.074000 300 1628102 1621699.836667 2363.858445 1321.300000 51.598934 0.000000
1000 10 3 tree first_move 85.035000 223 1629588 1623102.439462 2127.488663 2118.147982 70.348527 0.000000
1000 10 3 basic first_move 85.139000 477 1630317 1623086.612159 2128.815777 2123.366876 66.247468 0.000000
1000 10 4 bs_array best_move 85.365000 124 1624034 1617200.379032 2076.946932 1323.629032 51.238448 0.000000
